Index Number,Stop Number,Common Stop Name,Street Name,Town Name,Latitude,Longitude
IE17169,8530BE500027,Letterkenny Bus Station Bay 2,,Letterkenny,54.9538,-7.7283
IE17170,8530BE500028,Letterkenny Bus Station Bay 1,,Letterkenny,54.9538,-7.7284
IE17171,8530BE500025,Letterkenny Bus Station Bay 4,,Letterkenny,54.9537,-7.7282
IE17172,8530BE600006,Letterkenny Bus Station Entrance,Pearse Road,Letterkenny,54.9536,-7.7282
IE17173,8530BE500026,Letterkenny Bus Station Bay 3,,Letterkenny,54.9537,-7.7282
IE17174,13771,Welchtown,,,54.8176,-7.872
IE17175,13119,Finn Valley College,,,54.8077,-7.7752
IE17176,13772,Finn Valley College,,,54.8076,-7.775
IE17177,13120,Glenmaquin,,,54.9052,-7.6662
IE17178,13121,Glenmaquin,,,54.9052,-7.6664
IE17179,853000352,Malin Head,,,55.3539,-7.3236
IE17180,853000276,Oughterlin Church,,,55.1146,-7.5703
IE17181,600031,Pettigo,,,54.5494,-7.8322
IE17182,10797,Cionn Caslach,,Kincasslagh,55.026,-8.3926
IE17183,10735,Doagh Isle,,,55.3092,-7.3363
IE17184,10740,Bun na Leaca,,,55.1293,-8.2796
IE17185,10789,ATU Ballyraine,,,54.9535,-7.7212
IE17186,600061,An Clochán Liath,,,54.9502,-8.3607
IE17187,140251,Frosses,,,54.6676,-8.2419
IE17188,140461,An Charraig,,,54.6579,-8.6333
IE17189,10780,Primary Care Centre,,,54.478,-8.2751
IE17190,10781,Bundoran Church,,,54.4762,-8.2783
IE17191,10831,Letterkenny Bus Station,,,54.9541,-7.7286
IE17192,10902,Cool More,,,54.5446,-8.2103
IE17193,10790,Drumoghill,,,54.9362,-7.594
IE17194,10791,Dromore,,,54.945,-7.6776
